postcode_area,name,number_text,fee_cat
PR,W T Gunson (504- 508),504- 508,STANDARD
PR,Charles Parker Bennett (764&765),764&765,STANDARD
S,"Bramleys (90,91&127)","90,91&127",STANDARD
S,Brown & Co (929&936),929&936,STANDARD
SA,Astley Samuel Leeder (896-900),896-900,STANDARD
SA,"Dawsons (911,912)","911,912",STANDARD
SG,Brown & Co (931&932),931&932,STANDARD
SK,"Hammond Surveyors     
 (771-772)",771-772,HIGHER
SL,++ (277-279),277-279,STANDARD
ST,Pat McLaughlin (62 & 63),62 & 63,STANDARD
ST,"Hammond Surveyors 
(771-772)",771-772,HIGHER
TA,"Abercorn (94, 95 & 472 )","94, 95 & 472",HIGHER
TA,"Vickery Holman (876,881)","876,881",QUOTABLE
TD,"Edwin Thompson LLP (220-223,225-228)","220-223,225-228",STANDARD
TQ,"Vickery Holman 
(875, 876, 881)","875, 876, 881",QUOTABLE
TQ,"Vickery Holman 
(877,882, 883,921)","877,882, 883,921",QUOTABLE
WF,Bruton Knowles (689 & 691) GUILDFORD & CASTLEFORD,689 & 691,HIGHER
WN,Thomas Watson  AJP Surveyors (155-157),155-157,STANDARD
